TIMESTAMPms	M1ATTITUDEpitch	M1ATTITUDEpitchspeed	M1ATTITUDEroll	M1ATTITUDErollspeed	M1ATTITUDEyaw	M1ATTITUDEyawspeed	M1BATTERYSTATUSenergyconsumed	M1GLOBALPOSITIONINTalt	M1GLOBALPOSITIONINTlat	M1GLOBALPOSITIONINTlon	M1GLOBALPOSITIONINTvx	M1GLOBALPOSITIONINTvy	M1GLOBALPOSITIONINTvz	M1HIGHRESIMUpressurealt	M1HIGHRESIMUtemperature	M1HIGHRESIMUxacc	M1HIGHRESIMUxgyro	M1HIGHRESIMUyacc	M1HIGHRESIMUygyro	M1HIGHRESIMUzacc	M1HIGHRESIMUzgyro	M1RCCHANNELSchan1raw	M1RCCHANNELSchan2raw	M1RCCHANNELSchan3raw	M1RCCHANNELSchan4raw	M1SYSSTATUScurrentbattery	M1SYSSTATUSvoltagebattery
75	-2.752973139286041e-01	-3.409690409898758e-02	1.445640087127686e+00	2.361619845032692e-03	-2.090862274169922e+00	4.811224713921547e-02	NaN	3.994000000000000e+04	3.740100880000000e+08	-1.221534899000000e+09	4.800000000000000e+01	-4.900000000000000e+01	-2.900000000000000e+01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
175	-2.838146686553955e-01	2.898059040307999e-02	1.446310400962830e+00	3.500304371118546e-02	-2.093754291534424e+00	7.796230167150497e-02	NaN	3.994000000000000e+04	3.740100880000000e+08	-1.221534899000000e+09	4.800000000000000e+01	-4.900000000000000e+01	-2.900000000000000e+01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
267	-2.841666936874390e-01	2.802444621920586e-02	1.451880693435669e+00	1.118306368589401e-01	-2.093252182006836e+00	-7.768919318914413e-02	NaN	3.994000000000000e+04	3.740100880000000e+08	-1.221534899000000e+09	4.800000000000000e+01	-4.900000000000000e+01	-2.900000000000000e+01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
340	-2.841666936874390e-01	2.802444621920586e-02	1.451880693435669e+00	1.118306368589401e-01	-2.093252182006836e+00	-7.768919318914413e-02	NaN	3.994000000000000e+04	3.740100880000000e+08	-1.221534899000000e+09	4.800000000000000e+01	-4.900000000000000e+01	-2.900000000000000e+01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
359	-2.643602788448334e-01	-2.504177391529083e-02	1.465859413146973e+00	1.762218177318573e-01	-2.097274303436279e+00	-3.202060759067535e-01	NaN	3.994000000000000e+04	3.740100880000000e+08	-1.221534899000000e+09	4.800000000000000e+01	-4.900000000000000e+01	-2.900000000000000e+01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
367	-2.643602788448334e-01	-2.504177391529083e-02	1.465859413146973e+00	1.762218177318573e-01	-2.097274303436279e+00	-3.202060759067535e-01	NaN	4.003200000000000e+04	3.740100930000000e+08	-1.221534905000000e+09	5.000000000000000e+01	-4.400000000000000e+01	-3.900000000000000e+01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
447	-2.336678206920624e-01	-1.836190819740295e-01	1.490733385086060e+00	3.424831628799438e-01	-2.112219572067261e+00	-3.657241761684418e-01	NaN	4.003200000000000e+04	3.740100930000000e+08	-1.221534905000000e+09	5.000000000000000e+01	-4.400000000000000e+01	-3.900000000000000e+01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
540	-2.079503834247589e-01	-2.516272664070129e-01	1.531757116317749e+00	4.062495231628418e-01	-2.141958951950073e+00	-1.994189023971558e-01	NaN	4.003200000000000e+04	3.740100930000000e+08	-1.221534905000000e+09	5.000000000000000e+01	-4.400000000000000e+01	-3.900000000000000e+01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
631	-2.025747895240784e-01	3.522327914834023e-02	1.565900683403015e+00	2.518883645534515e-01	-2.157038927078247e+00	3.460739180445671e-02	NaN	4.003200000000000e+04	3.740100930000000e+08	-1.221534905000000e+09	5.000000000000000e+01	-4.400000000000000e+01	-3.900000000000000e+01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
714	-2.025747895240784e-01	3.522327914834023e-02	1.565900683403015e+00	2.518883645534515e-01	-2.157038927078247e+00	3.460739180445671e-02	NaN	4.003200000000000e+04	3.740100930000000e+08	-1.221534905000000e+09	5.000000000000000e+01	-4.400000000000000e+01	-3.900000000000000e+01	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.495000000000000e+03	1.495000000000000e+03	9.860000000000000e+02	1.501000000000000e+03	NaN	NaN
